,FAT_YEARMONTH,FAT_DAY,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,BEGIN_TIME,END_DAY,END_TIME,EPISODE_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,CZ_TIMEZONE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE
4263,201807,19,39298,775196,D,64,F,Boating,1800,19,1800,127706,MISSOURI,2018,July,Thunderstorm Wind,C,209,STONE,SGF,CST-6,0,0,17,0,0,0,Local Official
4264,201807,19,39299,775196,D,68,F,Boating,1800,19,1800,127706,MISSOURI,2018,July,Thunderstorm Wind,C,209,STONE,SGF,CST-6,0,0,17,0,0,0,Local Official
4265,201807,19,39300,775196,D,70,M,Boating,1800,19,1800,127706,MISSOURI,2018,July,Thunderstorm Wind,C,209,STONE,SGF,CST-6,0,0,17,0,0,0,Local Official
4266,201811,1,36086,785299,I,19,F,Vehicle/Towed Trailer,131,1,136,131156,MISSISSIPPI,2018,November,Tornado,C,21,CLAIBORNE,JAN,CST-6,0,2,0,1,30000,0,NWS Storm Survey
4267,201810,8,38907,788080,D,63,F,Camping,330,8,930,131740,TEXAS,2018,October,Flash Flood,C,267,KIMBLE,SJT,CST-6,3,0,4,0,9000000,0,Newspaper
4268,201810,8,38908,788080,D,65,M,Camping,330,8,930,131740,TEXAS,2018,October,Flash Flood,C,267,KIMBLE,SJT,CST-6,3,0,4,0,9000000,0,Newspaper
4269,201810,8,38909,788080,D,55,M,Camping,330,8,930,131740,TEXAS,2018,October,Flash Flood,C,267,KIMBLE,SJT,CST-6,3,0,4,0,9000000,0,Newspaper
4270,201810,8,38910,788080,D,51,M,Camping,330,8,930,131740,TEXAS,2018,October,Flash Flood,C,267,KIMBLE,SJT,CST-6,3,0,4,0,9000000,0,Newspaper
4271,201812,19,39243,794225,I,32,M,Vehicle/Towed Trailer,0,20,1200,132741,MONTANA,2018,December,Winter Weather,Z,4,LOWER CLARK FORK REGION,MSO,MST-7,0,3,0,2,1000,0,Law Enforcement
4272,201812,19,39244,794225,I,30,M,Vehicle/Towed Trailer,0,20,1200,132741,MONTANA,2018,December,Winter Weather,Z,4,LOWER CLARK FORK REGION,MSO,MST-7,0,3,0,2,1000,0,Law Enforcement
