FAT_YEARMONTH,FAT_DAY,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,BEGIN_TIME,END_DAY,END_TIME,EPISODE_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE
201304,18,21573,493453,D,38,M,Outside/Open Areas,1300,18,1310,82051,COLORADO,2013,April,Avalanche,Z,10,GORE AND ELK MOUNTAINS/CENTRAL MOUNTAIN VALLEYS,GJT,4/18/2013 13:00,MST-7,4/18/2013 13:10,0,0,1,0,0,0,Department of Highways
201312,9,21621,495505,I,60,F,Vehicle/Towed Trailer,500,10,1702,82362,MONTANA,2013,December,Winter Weather,Z,3,FLATHEAD/MISSION VALLEYS,MSO,12/9/2013 5:00,MST-7,12/10/2013 17:02,0,2,0,1,0,0,Official NWS Observations
201312,10,21925,505462,D,62,F,Unknown,0,10,2359,83731,ILLINOIS,2013,December,Cold/Wind Chill,Z,14,COOK,LOT,12/10/2013 0:00,CST-6,12/10/2013 23:59,0,0,1,0,0,0,County Official
201312,17,21924,505465,D,67,M,Permanent Home,0,17,2359,83732,ILLINOIS,2013,December,Cold/Wind Chill,Z,14,COOK,LOT,12/17/2013 0:00,CST-6,12/17/2013 23:59,0,0,1,0,0,0,County Official
201312,19,21923,505466,D,66,M,Permanent Home,0,19,2359,83733,ILLINOIS,2013,December,Cold/Wind Chill,Z,14,COOK,LOT,12/19/2013 0:00,CST-6,12/19/2013 23:59,0,0,1,0,0,0,County Official
201312,24,21895,505467,D,63,M,Outside/Open Areas,645,24,645,83734,ILLINOIS,2013,December,Cold/Wind Chill,Z,14,COOK,LOT,12/24/2013 6:45,CST-6,12/24/2013 6:45,0,0,1,0,0,0,County Official
201310,24,21896,505468,D,64,F,Unknown,0,24,0,83735,ILLINOIS,2013,October,Cold/Wind Chill,Z,14,COOK,LOT,10/24/2013 0:00,CST-6,10/24/2013 0:00,0,0,1,0,0,0,County Official
201307,17,22317,508314,D,14,M,In Water,1730,17,1740,84211,MICHIGAN,2013,July,Rip Current,Z,13,DELTA,MQT,7/17/2013 17:30,EST-5,7/17/2013 17:40,0,0,1,0,0,0,Coast Guard
201310,26,22803,519154,I,41,M,Vehicle/Towed Trailer,1700,26,1700,85975,IDAHO,2013,October,Frost/Freeze,Z,6,SOUTHERN CLEARWATER MOUNTAINS,MSO,10/26/2013 17:00,PST-8,10/26/2013 17:00,0,1,0,1,0,0,Law Enforcement
201306,8,20555,461678,D,57,M,In Water,1205,8,1205,76545,FLORIDA,2013,June,Lightning,C,51,HENDRY,MFL,6/8/2013 12:05,EST-5,6/8/2013 12:05,1,0,1,0,0,0,Newspaper
